revolver, load, shoot, aim, holster, clean
umbrella, open, close, twirl, shelter, dry
schooner, sail, navigate, anchor, steer, dock
soccer ball, kick, dribble, pass, shoot, trap
accordion, play, squeeze, fold, expand, tune
grand piano, play, tune, pedal, practice, lift
laptop, type, browse, program, connect, contain
strawberry, eat, pick, wash, plant, cultivate
airliner, fly, board, land, take off, check-in
warplane, bomb, strafe, dogfight, fly, maneuver
airship, fly, float, dock, steer, inflate
balloon, float, rise, deflate, pop, tie
space shuttle, launch, orbit, land, dock, re-enter
fireboat, spray, rescue, dock, pump, extinguish
gondola, ride, steer, pole, float, dock
speedboat, race, steer, accelerate, dock, tow
lifeboat, launch, rescue, row, steer, deploy
canoe, paddle, row, drift, steer, portage
yawl, sail, dock, navigate, crew, anchor
catamaran, sail, race, dock, navigate, crew
trimaran, sail, race, dock, navigate, crew
container ship, load, unload, navigate, dock, haul
liner, cruise, dock, board, sail, disembark
pirate, loot, plunder, raid, hijack, attack
aircraft carrier, launch, land, dock, deploy, refuel
submarine, dive, surface, launch, torpedo, navigate
wreck, salvage, inspect, dismantle, tow, remove
half track, transport, maneuver, navigate, drive, repair
tank, fire, maneuver, deploy, navigate, repair
missile, launch, target, intercept, guide, disarm
bobsled, race, steer, brake, accelerate, navigate
dogsled, mush, steer, brake, accelerate, harness
bicycle-built-for-two, ride, steer, brake, pedal, balance
mountain bike, ride, navigate, jump, brake, pedal
freight car, load, unload, couple, uncouple, shunt
passenger car, board, disembark, navigate, ride, stop
barrow, contain, load, unload, transport, store
shopping cart, contain, load, unload, transport, store
motor scooter, ride, navigate, park, refuel, accelerate
forklift, lift, transport, load, unload, maneuver
electric locomotive, pull, navigate, switch, stop, start
steam locomotive, pull, navigate, switch, stop, start
amphibian, drive, float, navigate, dock, deploy
ambulance, transport, rescue, stabilize, navigate, unload
beach wagon, ride, navigate, load, unload, park
cab, hail, ride, navigate, stop, pay
convertible, drive, ride, park, convert, accelerate
jeep, drive, navigate, park, off-road, tow
limousine, ride, navigate, park, chauffeur, reserve
minivan, ride, navigate, park, load, unload
Model T, drive, ride, park, crank, steer
racer, race, accelerate, steer, brake, pit
sports car, drive, ride, park, accelerate, steer
go-kart, race, steer, accelerate, brake, navigate
golfcart, ride, navigate, park, accelerate, steer
moped, ride, navigate, park, accelerate, refuel
snowplow, plow, clear, remove, navigate, salt
fire engine, extinguish, rescue, pump, navigate, connect
garbage truck, collect, transport, dump, compact, separate
pickup, haul, tow, load, unload, transport
tow truck, tow, haul, lift, transport, park
trailer truck, haul, transport, load, unload, park
moving van, transport, load, unload, pack, unpack
police van, transport, patrol, navigate, surveil, communicate
recreational vehicle, park, travel, camp, live, explore
streetcar, ride, navigate, stop, connect, transport
snowmobile, ride, navigate, accelerate, steer, park
